,Laconia(New Hampshire),Rutland(Vermont),Scranton(Pennsylvania),Alexandria(Virginia),Murfreesboro(Tennessee),Baltimore(Maryland),Johnson City(Tennessee),Worcester(Massachusetts),Philadelphia(Pennsylvania),Fort Wayne(Indiana),Gary(Indiana),Ann Arbor(Michigan),Hartford(Connecticut),Dover(Delaware),Montgomery(Alabama),Lafayette(Indiana),Lafayette(Louisiana),Memphis(Tennessee),Norfolk(Virginia),New Orleans(Louisiana),Harrisburg(Pennsylvania),Bloomington(Indiana),Hamilton(New Jersey),Charlottesville(Virginia),Montpelier(Vermont),Johnstown(Pennsylvania),Milwaukee(Wisconsin),Manassas(Virginia),Cleveland(Ohio),Providence(Rhode Island),Greensboro(North Carolina),Nashville(Tennessee),Panama City(Florida),Troy(New York),Fayetteville-A(Arkansas),Erie(Pennsylvania),New Haven(Connecticut),Saginaw(Michigan),Reading(Pennsylvania),Bridgeport(Connecticut),Springdale(Arkansas),Syracuse(New York),Sanford(Maine),Cumberland(Maryland),Gaithersburg(Maryland),Buffalo(New York),Columbia-SC(South Carolina),Charleston(West Virginia),Youngstown(Ohio),Clarksburg(West Virginia),Lansing(Michigan),Owensboro(Kentucky),Springfield-I(Illinois),Nashua(New Hampshire),Burlington(Vermont),Raleigh(North Carolina),Bloomington(Illinois),Manchester(New Hampshire),Pittsfield(Massachusetts),Rochester(New Hampshire),Annapolis(Maryland),New Bern (North Carolina),Bowling Green(Kentucky),Michigan City(Michigan),Warwick(Rhode Island),Westbrook(Maine),New Bedford(Massachusetts),Stamford(Connecticut),Chelsea(Massachusetts),Birmingham(Alabama),Southaven(Mississippi),Fayetteville(North Carolina),Savannah(Georgia),Atlantic City(New Jersey),Lynchburg(Virginia),Augusta(Maine),New Rochelle(New York),Knoxville(Tennessee),Monroe(Louisiana),Elizabethtown(Kentucky),St. Louis(Missouri),Mobile(Alabama),Florence(Kentucky),York(Pennsylvania),Rockville(Maryland),South Bend(Indiana),Washington(DC),Valdosta(Georgia),Lewiston(Maine),Miami(Florida),Columbia(Maryland),Summerville(South Carolina),Akron(Ohio),Tonawanda(New York),Carmel(Indiana),Springfield(Massachusetts),Auburn(Maine),Jersey City(New Jersey),Greenville(South Carolina),Lexington(Kentucky),Evansville(Indiana),Richmond(Virginia),Frankfort(Kentucky),Columbus(Ohio),Blacksburg(Virginia),St. Petersburg(Florida),JacksonM(Mississippi),Keene(New Hampshire),Kenosha(Wisconsin),Allentown(Pennsylvania),Grand Rapids(Michigan),Tallahassee(Florida),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Lancaster(Pennsylvania),Hagerstown(Maryland),Salisbury(Maryland),Wilmington-D(Delaware),Woodbridge(New Jersey),Jackson(Tennessee),Wheeling(West Virginia),Orlando(Florida),Biddeford(Maine),Conway(Arkansas),Portland(Maine),Bentonville(Arkansas),Dayton(Ohio),Jacksonville(Florida),Silver Spring(Maryland),Binghamton(New York),Jonesboro(Arkansas),Tampa(Florida),Concord(New Hampshire),Newport(Rhode Island),Winooski(Vermont),Kalamazoo(Michigan),Chicago(Illinois),Traverse city (Michigan),Tuscaloosa(Alabama),Springfield-M(Missouri),Hattiesburg(Mississippi),Winston-Salem(North Carolina),Champaign(Illinois),Durham(North Carolina),Dothan(Alabama),Utica(New York),Virginia Beach(Virginia),Baton Rouge(Louisiana),Rockford(Illinois),Cambridge(Massachusetts),Middletown(New Jersey),Biloxi(Mississippi),El Dorado(Arkansas),Jefferson City(Missouri),Toledo(Ohio),Cape Coral(Florida),Wilmington(North Carolina),Charlotte(North Carolina),Hilton Head Island(South Carolina),Blue Springs (Missouri),New York City(New York),Weirton(West Virginia),Chattanooga(Tennessee),Terre Haute(Indiana),Newark(New Jersey),Gainesville(Florida),Bossier City(Louisiana),Paterson(New Jersey),Cincinnati(Ohio),Morgantown(West Virginia),Yonkers(New York),Huntington(West Virginia),Flint(Michigan),Lebanon(New Hampshire),Kingsport(Tennessee),Louisville(Kentucky),Lake Charles(Louisiana),Albany(New York),Lorain(Ohio),Trenton(New Jersey),Indianapolis(Indiana),Brockton(Massachusetts),Huntsville(Alabama),Bangor(Maine),Shreveport(Louisiana),Mount Vernon(New York),Fall River(Massachusetts),Martinsburg(West Virginia),Atlanta(Georgia),Little Rock(Arkansas),Boston(Massachusetts),Peoria(Illinois),Tupelo(Mississippi),Seaford(Delaware),Parkersburg(West Virginia),Macon(Georgia),Sheboygan(Wisconsin),Muncie(Indiana),Detroit(Michigan)
Kenosha(Wisconsin),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,152.9,496.6,inf,inf,inf,298.0,inf,inf,inf,inf,inf,471.9,inf,inf,inf,inf,64.0,inf,713.9,inf,2257.9,2951.9,3611.9,1723.9,3821.9,878.9,1967.6,577.6,1345.9,1993.6,3834.9,1276.9,1895.9,1098.9,1277.9,1030.9,2490.9,1468.9,805.9,1277.9,461.6,656.9,418.0,1868.9,1754.9,1727.9,337.0,1837.9,1563.9,1871.9,1353.9,1911.9,772.9,200.60000000000002,1806.5,1950.9,1824.9,1683.6000000000001,1787.1000000000001,1086.9,1233.9,1761.0,1752.9,1518.9,1746.9,2038.9,1595.9,1163.9,1750.9,810.9,582.0,1462.9,977.9,1283.9,1285.9,258.6,1296.0,1690.9,1975.6,2406.9,1287.6,1762.9,727.6,1029.3000000000002,396.9,1634.6,1979.1,1551.6,1453.9,934.9,592.9,1472.0,872.9,619.9,1143.9,2121.9,1487.9,1763.6,0.0,1359.6,394.6,1570.9,1851.8000000000002,904.6,1777.6,1287.6,1184.6,1458.6,1422.6,1510.6,1087.9,825.9,1983.9,1904.8000000000002,1493.9,1930.6,1089.0,581.9,1835.9,1281.6,1283.6,1279.0,2013.9,1798.6,1817.3000000000002,1733.6,345.6,103.0,619.6,1186.9,931.0,1614.9,1346.9,318.0,1478.9,1403.9,1332.6,1591.9,1752.9,213.0,1758.6,1544.6,1573.9,1621.0,796.0,508.6,2204.9,1699.0,1423.9,1819.9,953.0,1564.1,860.9,1093.9,417.9,1491.6,1810.9,1770.0,1505.6,573.9,941.9,1545.0,839.9,514.6,1701.6,1324.9,576.9,1956.9,1477.6,650.6,1450.6,392.9,1784.6,1058.9,2137.6,1778.0,1552.7,1782.6,1162.9,1276.9,1434.0,1757.6,367.0,1371.9,1445.6,800.9,1412.9,150.0,443.0,563.6
Allentown(Pennsylvania),inf,inf,122.0,inf,inf,230.0,inf,inf,100.0,1111.0,1324.0,1034.0,inf,233.0,inf,1298.0,inf,inf,621.0,2954.0,133.0,1396.0,108.3,893.0,inf,347.0,1525.9,933.0,669.0,inf,1117.0,1811.0,2471.0,449.0,2681.0,598.0,909.7,1079.0,56.0,935.7,2694.0,336.0,838.0,364.0,301.0,537.0,1418.0,734.0,789.0,543.0,1045.0,1552.0,1500.0,811.0,697.0,1051.0,1437.0,780.0,528.8,814.0,282.0,1235.0,1668.0,1219.0,771.4,893.0,789.8,725.7,752.0,1879.0,2023.0,1156.0,1746.0,200.0,929.0,981.0,508.0,1384.0,2540.0,1706.0,1664.0,2255.0,1185.0,145.0,293.0,1103.0,295.4,1712.4,939.0,2193.4,263.9,1170.4,632.0,555.0,1193.0,620.8,942.5,148.5,1098.4,1017.0,1335.0,473.4,1064.0,834.0,730.4,1989.4,1970.4,528.5,1359.6,0.0,1150.0,1818.4,619.0,455.0,540.8,108.0,255.0,329.5,151.0,154.0,1584.0,546.0,1858.4,678.0,1990.0,716.1,2111.0,944.0,1632.4,283.0,217.0,1829.0,1954.4,599.8,460.8,684.0,1096.0,1256.6,1324.0,1669.4,1953.0,2011.4,818.4,1318.0,716.4,1761.4,377.0,635.4,2208.4,1401.6,529.8,188.0,1970.4,2129.0,1818.0,851.0,2110.4,952.4,935.4,1338.4,1975.0,161.0,513.0,1300.4,1240.0,132.0,1748.4,2278.0,146.0,983.0,480.0,185.4,812.0,1026.0,627.5,965.4,1142.0,2412.4,415.4,714.4,94.0,1115.0,541.8,1475.4,918.0,2286.0,193.1,495.5,292.8,1332.4,1937.0,524.8,1463.0,1868.0,292.0,657.0,1468.4,1499.6,1125.0,944.0
Grand Rapids(Michigan),inf,inf,inf,inf,inf,inf,inf,inf,inf,276.0,241.7,212.0,inf,inf,inf,391.7,inf,inf,inf,inf,inf,560.7,inf,inf,inf,inf,443.6,inf,483.0,inf,2027.0,2721.0,3381.0,1493.0,3591.0,648.0,1736.7,184.0,1115.0,1762.7,3604.0,1046.0,1665.0,868.0,1047.0,800.0,2260.0,1238.0,575.0,1047.0,111.0,745.7,606.5999999999999,1638.0,1524.0,1816.7,525.5999999999999,1607.0,1333.0,1641.0,1123.0,2000.7,861.7,194.0,1575.6,1720.0,1594.0,1452.7,1556.2,1175.7,1322.7,1849.8,1841.7,1288.0,1605.0,1808.0,1365.0,1252.7,1839.7,899.7,770.5999999999999,1551.7,999.0,1053.0,1055.0,203.0,1086.4,1779.7,1766.0,2495.7,1078.0,1851.7,518.0,819.7,406.0,1425.0,1769.5,1342.0,1542.7,1023.7,681.7,1262.4,961.7,527.0,1051.0,2210.7,1576.7,1554.0,394.6,1150.0,0.0,1659.7,1642.2,695.0,1568.0,1078.0,975.0,1249.0,1213.0,1301.0,1176.7,725.7,2072.7,1695.2,1582.7,1721.0,1277.6,538.0,1924.7,1072.0,1074.0,1421.7,2102.7,1589.0,1607.7,1524.0,81.0,291.59999999999997,228.0,1275.7,1119.6,1703.7,1254.0,506.59999999999997,1386.0,1492.7,1123.0,1424.4,1841.7,436.59999999999997,1549.0,1335.0,1662.7,1721.7,984.5999999999999,299.0,2293.7,1606.1,1331.0,1742.0,1141.6,1311.0,677.0,1182.7,506.7,1282.0,1899.7,1870.7,1296.0,606.0,806.0,1335.4,747.0,164.0,1492.0,1271.0,609.0,2045.7,1268.0,441.0,1241.0,425.0,1575.0,1147.7,1928.0,1878.7,1343.1,1573.0,1012.8,1365.7,1529.7,1548.0,555.5999999999999,1460.7,1236.0,708.0,1501.7,534.5999999999999,386.0,252.0
Tallahassee(Florida),inf,inf,inf,2134.0,1034.0,inf,1437.0,inf,inf,inf,inf,inf,inf,inf,337.0,inf,inf,1152.0,1972.0,651.0,2488.2,inf,2602.3,1736.0,inf,2698.0,inf,1868.0,3020.0,inf,1509.1,694.0,156.0,2923.2,1567.0,2878.2,3383.8999999999996,3342.0,2452.0,3409.8999999999996,1580.0,2810.2,3312.2,2479.0,2314.0,3008.0,746.0,1589.0,2464.0,1792.0,2720.0,914.0,1607.0,2944.2,2830.2,1122.0,1544.0,2913.2,2647.0,2947.2,1898.0,1210.0,798.0,1465.7,2889.6,3026.2,2908.0,2766.7,2870.2,484.0,1008.0,1017.0,418.0,2182.0,1235.0,3114.2,2641.2,981.0,933.0,914.0,1247.0,396.0,1121.0,2019.0,1567.7,1484.0,1536.0,119.0,2739.6,773.0,1587.3,653.0,1515.0,1914.7,1288.0,2413.4,2735.1,1919.4,720.0,1050.0,978.0,1350.0,1047.0,1314.0,1163.0,478.0,695.0,2294.4,1570.9,1818.4,1659.7,0.0,2384.9,1611.0,2306.7,1715.5,1622.8,1721.0,1707.4,1873.4,905.0,1520.0,413.0,2443.9,1171.0,2482.0,1463.0,1228.0,265.0,1535.4,2004.6,1150.0,443.0,2365.7,2226.7,2449.9,1601.0,1467.9,1884.7,504.0,1498.0,548.0,1013.0,1291.0,1112.0,167.0,2164.6,1522.0,745.0,1587.0,2295.7,1907.4,507.0,1002.0,1461.0,1467.0,634.0,943.0,883.0,485.0,1618.0,1926.9,1555.0,669.0,1157.0,1900.4,240.0,1049.0,1913.4,1141.0,1583.0,1952.8,1251.0,1716.0,2393.4,954.7,981.0,949.0,2182.8,1514.0,1813.4,1165.0,2307.7,644.0,2683.9,1055.0,1960.5,2261.3999999999996,1585.0,486.0,1118.0,2290.7,1436.0,923.0,1705.4,1415.0,361.0,1710.9,1254.0,1560.0
Portsmouth(New Hampshire),92.0,262.0,inf,inf,inf,inf,inf,161.2,inf,inf,inf,inf,266.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,277.0,inf,inf,inf,inf,177.5,inf,inf,inf,391.8,3491.0,1019.8,329.2,1594.8,877.8,355.2,3504.0,613.0,47.8,1145.8,1111.0,845.0,2228.0,1515.8,1282.0,1324.8,1538.0,2045.0,1993.0,103.0,346.0,1861.0,1930.0,74.0,309.2,35.1,1089.2,2042.2,2158.2,1709.2,195.1,95.2,186.0,388.2,86.0,2472.2,2619.2,1963.2,2553.2,1016.0,1736.2,190.8,422.9,2163.0,3136.2,2196.2,2154.2,2848.2,1675.2,952.2,1100.2,1593.2,1102.6,2519.6,141.0,3000.6,1071.1,1977.6,1222.2,840.2,1685.2,233.5,139.0,470.5,1664.9,1677.5,1949.2,1039.9,1724.5,1389.2,1296.9,2555.9,2536.9,162.0,1851.8000000000002,619.0,1642.2,2384.9,0.0,1074.0,109.5,727.0,874.0,856.0,677.5,504.29999999999995,2184.9,1165.0,2424.9,59.0,2593.9,97.1,2661.2,1502.2,2198.9,849.5,600.2,2432.9,2520.9,75.0,214.7,341.0,1588.2,1748.8,1816.2,2235.9,2503.2,2577.9,1384.9,1845.2,1282.9,2327.9,529.2,1201.9,2774.9,1893.8,94.5,539.5,2536.9,2732.9,2368.2,1343.2,2676.9,1518.9,1501.9,1904.9,2525.2,458.0,1132.0,1866.9,1795.2,487.0,2314.9,2881.9,475.0,1562.2,1099.0,435.59999999999997,1431.0,1518.2,172.0,1531.9,1722.2,2978.9,374.2,1204.6,564.3,1670.2,130.9,2041.9,299.0,2889.9,428.0,176.2,911.8,1898.9,2540.9,94.2,1990.2,2471.9,818.5,1276.0,2034.9,1991.8,1617.2,1436.2
Pittsburgh(Pennsylvania),inf,inf,477.0,inf,inf,399.0,inf,inf,491.0,560.0,773.0,483.0,inf,600.0,inf,747.0,inf,inf,766.0,3099.0,327.0,845.0,560.3,1038.0,inf,108.0,974.9,1078.0,214.0,inf,1262.0,1956.0,2616.0,804.0,2826.0,206.0,1264.7,622.0,418.0,1290.7,2839.0,604.0,1193.0,171.0,350.0,358.0,1563.0,354.0,256.0,185.0,588.0,1095.0,1043.0,1166.0,1052.0,1031.0,980.0,1135.0,883.8,1169.0,426.0,1215.0,1211.0,762.0,1126.3999999999999,1248.0,1144.8,1010.7,1107.0,1499.0,1643.0,1066.0,1525.0,591.0,721.0,1336.0,863.0,1004.0,2160.0,1249.0,1207.0,1875.0,571.0,356.0,358.0,646.0,389.4,1806.4,1294.0,2287.4,381.0,1264.4,177.0,377.7,738.0,975.8,1297.5,603.5,1031.0,637.0,904.0,567.4,680.0,297.0,576.0,1918.0,1528.0,983.5,904.6,455.0,695.0,1611.0,1074.0,0.0,995.8,383.0,280.0,554.0,518.0,606.0,1128.0,91.0,1787.0,1133.0,1534.0,1171.1,1599.0,410.0,1561.0,377.0,572.0,1373.0,1883.0,1054.8,915.8,1052.0,641.0,801.6,869.0,1227.0,1441.0,1655.0,779.0,781.0,810.4,1444.0,681.0,729.4,1793.0,946.6,984.8,640.0,1614.0,1673.0,1306.0,396.0,2039.0,1046.4,856.0,1267.0,1463.0,616.0,58.0,1053.0,703.0,587.0,1677.0,1822.0,601.0,470.0,122.0,640.4,418.0,571.0,1020.0,811.0,630.0,1997.0,798.0,259.4,546.0,578.0,996.8,1099.0,1373.0,1830.0,648.1,950.5,317.8,1236.0,1481.0,979.8,926.0,1412.0,541.0,234.0,1372.0,1044.6,661.0,489.0
Quincy(Massachusetts),197.5,323.5,inf,inf,inf,inf,inf,88.0,inf,inf,inf,inf,188.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,338.5,inf,inf,inf,inf,68.0,inf,inf,inf,314.8,3414.0,942.8,245.6,1517.8,800.8,277.0,3427.0,536.0,157.3,1068.8,1034.0,768.0,2151.0,1438.8,1205.0,1247.8,1461.0,1968.0,1916.0,95.4,406.4,1784.0,1853.0,128.2,235.0,144.6,1015.0,1968.0,2084.0,1635.0,85.6,212.3,80.0,310.0,23.5,2398.0,2545.0,1889.0,2479.0,941.8,1662.0,300.3,344.7,2088.8,3062.0,2122.0,2080.0,2774.0,1601.0,878.0,1026.0,1519.0,1028.4,2445.4,258.3,2926.4,996.9,1903.4,1148.0,766.0,1611.0,158.0,261.8,392.3,1586.7,1599.3,1875.0,961.7,1646.3,1315.0,1218.7,2477.7,2458.7,177.4,1777.6,540.8,1568.0,2306.7,109.5,995.8,0.0,648.8,795.8,777.8,599.3,426.1,2106.7,1086.8,2346.7,168.5,2515.7,206.6,2587.0,1405.8,2120.7,771.3,526.0,2354.7,2442.7,154.4,104.7,401.4,1514.0,1674.6,1742.0,2157.7,2429.0,2499.7,1306.7,1771.0,1204.7,2249.7,455.0,1123.7,2696.7,1819.6,28.4,461.29999999999995,2458.7,2654.7,2294.0,1269.0,2598.7,1440.7,1423.7,1826.7,2451.0,379.79999999999995,1053.8,1788.7,1698.8,408.79999999999995,2236.7,2803.7,396.79999999999995,1465.8,1020.8,357.4,1352.8,1444.0,241.4,1453.7,1625.8,2900.7,300.0,1130.4,486.1,1573.8,25.6,1963.7,408.5,2811.7,349.79999999999995,70.0,833.5999999999999,1820.7,2462.7,21.0,1916.0,2393.7,740.3,1197.8,1956.7,1917.6,1543.0,1362.0
Lancaster(Pennsylvania),inf,inf,213.0,inf,inf,127.1,inf,inf,128.0,943.0,1156.0,866.0,inf,261.0,inf,1130.0,inf,inf,518.1,2851.1,62.0,1228.0,197.3,790.1,inf,277.0,1357.9,830.1,597.0,inf,1014.1,1708.1,2368.1,540.0,2578.1,539.0,1000.7,1005.0,55.0,1026.7,2591.1,427.0,929.0,293.0,198.1,628.0,1315.1,663.0,639.0,472.0,971.0,1478.0,1426.0,902.0,788.0,948.1,1363.0,871.0,619.8,905.0,179.1,1132.1,1594.0,1145.0,862.4,984.0,880.8,816.7,843.0,1808.0,1952.0,1053.1,1643.1,228.0,826.1,1072.0,599.0,1313.0,2469.0,1632.0,1590.0,2184.0,954.0,42.1,190.1,1029.0,192.5,1609.5,1030.0,2090.5,161.0,1067.5,560.0,646.0,1121.0,711.8,1033.5,256.5,995.5,946.0,1264.0,370.5,993.0,680.0,627.5,1886.5,1867.5,636.5,1287.6,108.0,1078.0,1715.5,727.0,383.0,648.8,0.0,184.0,306.1,179.0,243.0,1511.0,474.0,1755.5,786.0,1917.0,824.1,1982.0,793.0,1529.5,180.1,308.0,1756.0,1851.5,707.8,568.8,788.0,1024.0,1184.6,1252.0,1566.5,1824.0,1908.5,715.5,1164.0,613.5,1658.5,468.0,532.5,2105.5,1329.6,637.8,277.0,1867.5,2056.0,1689.0,779.0,2007.5,849.5,832.5,1235.5,1846.0,269.0,441.0,1197.5,1086.0,240.0,1645.5,2205.0,254.0,853.0,409.0,293.4,741.0,954.0,735.5,862.5,1013.0,2309.5,523.4,642.4,183.0,961.0,649.8,1372.5,1026.0,2213.0,301.09999999999997,603.5,221.8,1229.5,1864.0,632.8,1309.0,1795.0,294.1,586.0,1365.5,1427.6,1044.0,872.0
Hagerstown(Maryland),inf,inf,318.0,127.7,inf,119.0,824.7,inf,289.0,inf,inf,inf,inf,320.0,1724.7,inf,inf,1610.7,442.7,2422.7,122.0,inf,358.3,309.7,inf,216.0,inf,162.8,494.0,inf,588.8,1248.8,1908.8,645.0,2118.8,486.0,1105.7,904.0,224.0,1131.7,2131.8,532.0,1034.0,109.0,77.0,638.0,889.8,479.0,614.0,288.0,870.0,1377.0,1325.0,1007.0,893.0,564.7,1262.0,976.0,724.8,1010.0,152.0,748.7,1352.8,1044.0,967.4,1089.0,985.8,921.7,948.0,1458.8,1602.8,669.7,1217.8,367.0,400.8,1177.0,704.0,963.8,2090.8,1383.8,1489.0,1762.8,1010.0,162.2,84.0,928.0,114.4,1516.8,1135.0,1997.8,106.0,989.4,457.0,657.7,1018.0,816.8,1138.5,445.0,902.8,762.0,1080.0,292.4,809.0,585.0,535.8,1801.8,1729.0,825.0,1184.6,255.0,975.0,1622.8,874.0,280.0,795.8,184.0,0.0,280.0,238.0,404.0,1329.0,341.0,1670.8,933.0,1735.0,971.1,1856.0,690.0,1444.8,102.0,413.0,1574.0,1766.8,854.8,715.8,893.0,921.0,1081.6,1149.0,1428.0,1698.0,1815.8,622.8,1061.0,535.4,1565.8,573.0,454.4,1994.0,1226.6,784.8,438.0,1774.8,1874.0,1563.0,676.0,1922.8,771.4,739.8,1150.8,1720.0,416.0,338.0,1105.8,983.0,387.0,1560.8,2023.0,401.0,728.0,225.0,440.4,557.0,851.0,861.0,770.8,887.0,2198.0,639.0,539.4,344.0,858.0,796.8,1280.8,1173.0,2031.0,448.09999999999997,750.5,37.8,1136.8,1682.0,779.8,1206.0,1613.0,267.0,402.0,1272.8,1324.6,941.0,769.0
Salisbury(Maryland),inf,inf,501.0,252.7,inf,179.0,947.0,inf,349.0,inf,inf,inf,inf,96.5,1847.0,inf,inf,1733.0,212.0,2545.0,304.2,inf,298.8,434.7,inf,490.0,inf,308.7,768.0,inf,708.0,1388.7,2048.7,756.5,2258.7,760.0,1217.2,1178.0,331.5,1243.2,2271.7,643.5,1145.5,383.0,218.0,844.5,1009.0,753.0,888.0,562.0,1144.0,1608.7,1599.0,1118.5,1004.5,642.0,1536.0,1087.5,836.3,1121.5,143.0,826.0,1492.7,1318.0,1078.8999999999999,1200.5,1097.3,1033.2,1059.5,1592.0,1742.7,747.0,1337.0,307.5,520.0,1288.5,815.5,1103.7,2210.0,1523.7,1763.0,1882.0,1284.0,264.0,209.0,1202.0,204.4,1621.4,1246.5,2102.4,189.0,1068.0,731.0,862.5,1292.0,928.3,1250.0,385.5,1007.4,1036.0,1354.0,371.0,1083.0,859.0,639.4,1887.0,1879.4,765.5,1458.6,329.5,1249.0,1721.0,856.0,554.0,777.8,306.1,280.0,0.0,177.5,344.5,1527.4,615.0,1756.0,915.0,1936.4,953.1,2130.0,964.0,1530.0,192.0,524.5,1775.4,1852.0,836.8,697.8,921.0,1195.0,1355.6,1423.0,1578.4,1972.0,1920.4,727.4,1335.0,614.0,1670.4,684.5,240.5,2117.4,1500.6,766.8,378.5,1879.4,2075.4,1837.0,950.0,2008.0,850.0,844.0,1236.0,1994.0,398.0,612.0,1209.4,1257.0,371.5,1646.0,2224.4,384.5,1002.0,499.0,423.9,831.0,1125.0,864.5,874.4,1161.0,2321.4,653.9,813.4,284.5,1132.0,778.8,1384.4,1155.0,2232.4,431.59999999999997,732.5,317.8,1241.4,1883.4,761.8,1480.0,1814.4,36.5,676.0,1377.4,1598.6,1215.0,1043.0
Wilmington-D(Delaware),inf,inf,251.0,inf,inf,119.0,inf,inf,51.0,inf,inf,inf,inf,82.0,inf,inf,inf,inf,510.0,2843.0,221.0,inf,120.3,782.0,inf,435.0,inf,822.0,756.0,inf,1006.0,1700.0,2360.0,578.0,2570.0,696.0,1038.7,1166.0,153.0,1064.7,2583.0,465.0,967.0,347.0,190.0,666.0,1307.0,717.0,852.0,526.0,1108.0,1615.0,1563.0,940.0,826.0,940.0,1500.0,909.0,657.8,943.0,171.0,1124.0,1731.0,1282.0,900.4,1022.0,918.8,854.7,881.0,1862.0,2006.0,1045.0,1635.0,129.0,818.0,1110.0,637.0,1367.0,2508.0,1769.0,1727.0,2180.0,1248.0,204.0,182.0,1166.0,184.4,1601.4,1068.0,2082.4,152.9,1059.4,695.0,684.0,1256.0,749.8,1071.5,207.0,987.4,1000.0,1318.0,362.4,1047.0,823.0,619.4,1878.4,1859.4,587.0,1422.6,151.0,1213.0,1707.4,677.5,518.0,599.3,179.0,238.0,177.5,0.0,166.0,1507.4,579.0,1747.4,736.5,1916.4,774.6,2094.0,928.0,1521.4,172.0,346.0,1755.4,1843.4,658.3,519.3,742.5,1159.0,1319.6,1387.0,1558.4,1936.0,1900.4,707.4,1299.0,605.4,1650.4,506.0,418.0,2097.4,1464.6,588.3,200.0,1859.4,2055.4,1801.0,914.0,1999.4,841.4,824.4,1227.4,1958.0,219.5,576.0,1189.4,1221.0,193.0,1637.4,2204.4,206.0,966.0,463.0,245.4,795.0,1089.0,686.0,854.4,1125.0,2301.4,475.4,777.4,106.0,1096.0,600.3,1364.4,976.5,2212.4,253.1,554.0,275.8,1221.4,1863.4,583.3,1444.0,1794.4,141.0,640.0,1357.4,1562.6,1179.0,1007.0
Woodbridge(New Jersey),inf,inf,227.0,inf,inf,413.0,inf,inf,115.0,inf,inf,inf,inf,248.0,inf,inf,inf,inf,676.0,3009.0,285.0,inf,60.0,948.0,inf,499.0,inf,988.0,820.0,inf,1172.0,1866.0,2526.0,321.3,2736.0,745.0,782.0,1230.0,217.0,808.0,2749.0,441.0,710.3,513.0,356.0,642.0,1473.0,883.0,940.0,692.0,1196.0,1703.0,1651.0,683.3,569.3,1106.0,1588.0,652.3,401.1,686.3,337.0,1290.0,1819.0,1370.0,643.6999999999999,765.3,662.0999999999999,598.0,624.3,2028.0,2172.0,1211.0,1801.0,165.0,984.0,853.3,81.4,1533.0,2674.0,1857.0,1815.0,2346.0,1336.0,279.0,348.0,1254.0,350.4,1767.4,653.1,2248.4,318.9,1225.4,783.0,660.0,1344.0,284.79999999999995,656.6,33.8,1153.4,1166.0,1484.0,528.4,1213.0,985.0,785.4,2044.4,2025.4,413.79999999999995,1510.6,154.0,1301.0,1873.4,504.29999999999995,606.0,426.1,243.0,404.0,344.5,166.0,0.0,1673.4,697.0,1913.4,563.3,2082.4,601.4,2205.0,1016.0,1687.4,338.0,322.0,1921.4,2009.4,485.1,346.1,569.3,1247.0,1407.6,1475.0,1724.4,2047.0,2066.4,873.4,1387.0,771.4,1816.4,441.3,584.0,2263.4,1552.6,415.1,37.5,2025.4,2221.4,1912.0,1002.0,2165.4,1007.4,990.4,1393.4,2069.0,46.3,664.0,1355.4,1309.0,27.0,1803.4,2370.4,50.0,1076.0,629.0,80.5,961.0,1177.0,512.8,1020.4,1236.0,2467.4,310.5,865.4,60.0,1184.0,427.1,1530.4,803.3,2378.4,82.19999999999999,380.79999999999995,441.8,1387.4,2029.4,410.1,1532.0,1960.4,307.0,806.0,1523.4,1650.6,1267.0,1095.0
