,Laconia(New Hampshire),Rutland(Vermont),Scranton(Pennsylvania),Alexandria(Virginia),Murfreesboro(Tennessee),Baltimore(Maryland),Johnson City(Tennessee),Worcester(Massachusetts),Philadelphia(Pennsylvania),Fort Wayne(Indiana),Gary(Indiana),Ann Arbor(Michigan),Hartford(Connecticut),Dover(Delaware),Montgomery(Alabama),Lafayette(Indiana),Lafayette(Louisiana),Memphis(Tennessee),Norfolk(Virginia),New Orleans(Louisiana),Harrisburg(Pennsylvania),Bloomington(Indiana),Hamilton(New Jersey),Charlottesville(Virginia),Montpelier(Vermont),Johnstown(Pennsylvania),Milwaukee(Wisconsin),Manassas(Virginia),Cleveland(Ohio),Providence(Rhode Island),Greensboro(North Carolina),Nashville(Tennessee),Panama City(Florida),Troy(New York),Fayetteville-A(Arkansas),Erie(Pennsylvania),New Haven(Connecticut),Saginaw(Michigan),Reading(Pennsylvania),Bridgeport(Connecticut),Springdale(Arkansas),Syracuse(New York),Sanford(Maine),Cumberland(Maryland),Gaithersburg(Maryland),Buffalo(New York),Columbia-SC(South Carolina),Charleston(West Virginia),Youngstown(Ohio),Clarksburg(West Virginia),Lansing(Michigan),Owensboro(Kentucky),Springfield-I(Illinois),Nashua(New Hampshire),Burlington(Vermont),Raleigh(North Carolina),Bloomington(Illinois),Manchester(New Hampshire),Pittsfield(Massachusetts),Rochester(New Hampshire),Annapolis(Maryland),New Bern (North Carolina),Bowling Green(Kentucky),Michigan City(Michigan),Warwick(Rhode Island),Westbrook(Maine),New Bedford(Massachusetts),Stamford(Connecticut),Chelsea(Massachusetts),Birmingham(Alabama),Southaven(Mississippi),Fayetteville(North Carolina),Savannah(Georgia),Atlantic City(New Jersey),Lynchburg(Virginia),Augusta(Maine),New Rochelle(New York),Knoxville(Tennessee),Monroe(Louisiana),Elizabethtown(Kentucky),St. Louis(Missouri),Mobile(Alabama),Florence(Kentucky),York(Pennsylvania),Rockville(Maryland),South Bend(Indiana),Washington(DC),Valdosta(Georgia),Lewiston(Maine),Miami(Florida),Columbia(Maryland),Summerville(South Carolina),Akron(Ohio),Tonawanda(New York),Carmel(Indiana),Springfield(Massachusetts),Auburn(Maine),Jersey City(New Jersey),Greenville(South Carolina),Lexington(Kentucky),Evansville(Indiana),Richmond(Virginia),Frankfort(Kentucky),Columbus(Ohio),Blacksburg(Virginia),St. Petersburg(Florida),JacksonM(Mississippi),Keene(New Hampshire),Kenosha(Wisconsin),Allentown(Pennsylvania),Grand Rapids(Michigan),Tallahassee(Florida),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Lancaster(Pennsylvania),Hagerstown(Maryland),Salisbury(Maryland),Wilmington-D(Delaware),Woodbridge(New Jersey),Jackson(Tennessee),Wheeling(West Virginia),Orlando(Florida),Biddeford(Maine),Conway(Arkansas),Portland(Maine),Bentonville(Arkansas),Dayton(Ohio),Jacksonville(Florida),Silver Spring(Maryland),Binghamton(New York),Jonesboro(Arkansas),Tampa(Florida),Concord(New Hampshire),Newport(Rhode Island),Winooski(Vermont),Kalamazoo(Michigan),Chicago(Illinois),Traverse city (Michigan),Tuscaloosa(Alabama),Springfield-M(Missouri),Hattiesburg(Mississippi),Winston-Salem(North Carolina),Champaign(Illinois),Durham(North Carolina),Dothan(Alabama),Utica(New York),Virginia Beach(Virginia),Baton Rouge(Louisiana),Rockford(Illinois),Cambridge(Massachusetts),Middletown(New Jersey),Biloxi(Mississippi),El Dorado(Arkansas),Jefferson City(Missouri),Toledo(Ohio),Cape Coral(Florida),Wilmington(North Carolina),Charlotte(North Carolina),Hilton Head Island(South Carolina),Blue Springs (Missouri),New York City(New York),Weirton(West Virginia),Chattanooga(Tennessee),Terre Haute(Indiana),Newark(New Jersey),Gainesville(Florida),Bossier City(Louisiana),Paterson(New Jersey),Cincinnati(Ohio),Morgantown(West Virginia),Yonkers(New York),Huntington(West Virginia),Flint(Michigan),Lebanon(New Hampshire),Kingsport(Tennessee),Louisville(Kentucky),Lake Charles(Louisiana),Albany(New York),Lorain(Ohio),Trenton(New Jersey),Indianapolis(Indiana),Brockton(Massachusetts),Huntsville(Alabama),Bangor(Maine),Shreveport(Louisiana),Mount Vernon(New York),Fall River(Massachusetts),Martinsburg(West Virginia),Atlanta(Georgia),Little Rock(Arkansas),Boston(Massachusetts),Peoria(Illinois),Tupelo(Mississippi),Seaford(Delaware),Parkersburg(West Virginia),Macon(Georgia),Sheboygan(Wisconsin),Muncie(Indiana),Detroit(Michigan)
Cleveland(Ohio),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,165.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,120.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,63.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,230.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,214.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,382.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,184.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,496.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,45.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Providence(Rhode Island),inf,inf,inf,inf,inf,inf,inf,65.0,inf,inf,inf,inf,120.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,69.0,inf,inf,inf,inf,29.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Greensboro(North Carolina),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,127.0,inf,inf,inf,inf,inf,315.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,157.0,inf,inf,188.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,45.1,inf,90.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,339.0,151.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Nashville(Tennessee),inf,inf,inf,inf,52.0,inf,455.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,334.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,104.0,inf,inf,inf,inf,inf,inf,210.0,inf,inf,inf,inf,inf,inf,inf,287.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,211.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,217.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,448.0,inf,inf,inf,inf,inf,inf,inf,182.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Panama City(Florida),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,301.0,inf,inf,inf,inf,inf,inf,inf,933.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,638.0,inf,inf,inf,inf,inf,156.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,573.0,inf,inf,inf,inf,inf,424.0,inf,inf,inf,603.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,133.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,795.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,400.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Troy(New York),inf,135.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,242.0,inf,inf,inf,476.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,242.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,472.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,232.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,161.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,275.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,241.0,inf,inf,inf,inf,inf,inf,14.8,inf,inf,inf,inf,inf,inf,inf,245.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Fayetteville-A(Arkansas),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,13.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,259.0,inf,42.4,inf,inf,inf,inf,467.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,496.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,309.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
Erie(Pennsylvania),inf,inf,518.0,inf,inf,inf,inf,inf,645.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,478.0,inf,inf,inf,inf,283.0,inf,inf,165.0,inf,inf,inf,inf,inf,inf,0.0,inf,inf,575.0,inf,inf,inf,inf,inf,inf,152.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,553.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,598.0,inf,inf,inf,206.0,inf,539.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,426.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
New Haven(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,63.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,35.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,160.0,inf,inf,69.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,161.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Saginaw(Michigan),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,139.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,121.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,377.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,184.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,239.0,inf,253.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,168.0
Reading(Pennsylvania),inf,inf,159.0,inf,inf,inf,inf,inf,102.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,102.0,inf,inf,inf,inf,316.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,575.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,92.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,56.0,inf,inf,inf,418.0,inf,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Bridgeport(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35.2,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,39.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Springdale(Arkansas),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13.3,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,272.0,inf,29.4,inf,inf,inf,inf,480.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,509.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,322.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
Syracuse(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,242.0,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,246.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,415.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,242.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,119.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,421.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,398.0,inf,inf,inf,inf,inf,inf,236.0,inf,inf,inf,inf,inf,inf,inf,410.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Sanford(Maine),83.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,143.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,101.0,inf,inf,inf,inf,inf,inf,inf,106.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,47.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30.2,inf,56.0,inf,inf,inf,inf,inf,inf,inf,85.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,263.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Cumberland(Maryland),inf,inf,inf,inf,inf,230.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,107.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,179.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,255.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,187.0,inf,inf,inf,inf,inf,210.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,171.0,inf,inf,109.0,383.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,206.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,116.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Gaithersburg(Maryland),inf,inf,inf,inf,inf,71.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,179.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,81.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.6,inf,inf,inf,inf,inf,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,77.0,218.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,37.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Buffalo(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,476.0,inf,152.0,inf,inf,inf,inf,inf,246.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,618.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,19.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,320.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,323.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,744.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,605.0,inf,inf,inf,inf,inf,inf,468.0,inf,inf,inf,inf,inf,inf,inf,613.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
